hotel,is_canceled,lead_time,arrival_date_week,arrival_date_month,arrival_date_year,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,id,booking_difficulty_score,total_bookings,arrival_date,kids,is_single,group_size,total_nights,long_stay
City Hotel,1,263,43,10,2016,20,0.0,3.4405073814558778,2,1,0,FRA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,22.953853456430156,Transient,307.92,0,0,58983,7.92718272148282,0,2016-10-20,1,0,3,3.4405073814558778,0
Resort Hotel,1,12,27,7,2017,6,1.8076630364786963,0.7075860052158831,2,0,0,UNAVAILABLE,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,240.0,40.0,7.064100869698771,Transient,113.3,0,0,12592,0.2370479423148612,0,2017-7-6,0,0,2,2.515249041694579,0
City Hotel,1,144,1,1,2017,1,0.5494315375712335,2.162267985200528,2,0,0,RUS,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,11.25181038741782,Transient,75.67,0,3,62068,2.9523909948352776,0,2017-1-1,0,0,2,2.7116995227717617,0
Resort Hotel,0,39,15,4,2016,9,0.3322991195403321,1.28159670973915,1,0,0,PRT,DIRECT,DIRECT,0,0,0,G,0,No Deposit,9.0,40.0,0.0,Transient,57.59,0,1,22926,1.9249909312766214,0,2016-4-9,0,1,1,1.6138958292794823,0
City Hotel,0,360,12,3,2017,22,0.0,0.4712144681558338,1,0,0,UNAVAILABLE,DIRECT,DIRECT,0,0,0,A,1,No Deposit,9.0,40.0,0.0,Transient,124.04,0,0,108241,1.9249909312766214,0,2017-3-22,0,1,1,0.4712144681558338,0
City Hotel,0,100,44,10,2016,23,2.2335420414508635,2.3946141887437875,2,0,0,DEU,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,40.0,3.6836877927304776,Transient-Party,33.35,0,1,100223,0.4238894428441326,0,2016-10-23,0,0,2,4.6281562301946515,0
City Hotel,0,89,21,5,2016,20,0.186734525531658,4.290248310329074,1,0,0,PRT,CORPORATE,CORPORATE,0,0,0,A,1,No Deposit,9.0,174.0,1.750114588687724,Transient-Party,46.74,0,0,89433,1.3956563323252709,0,2016-5-20,0,1,1,4.476982835860731,0
City Hotel,0,24,40,9,2016,27,0.0,6.864332581042078,2,0,0,ITA,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,7.0,40.0,8.593977232419647,Transient,89.38,0,3,98392,0.8297337059049238,0,2016-9-27,0,0,2,6.864332581042078,0
City Hotel,0,101,4,1,2016,22,0.0,0.9007369138512196,2,0,0,MISSING,GROUPS,TA/TO,0,1,0,A,0,Non Refund,29.0,40.0,31.375944721161236,Transient,40.67,0,0,81024,1.6915544288770676,1,2016-1-22,0,0,2,0.9007369138512196,0
Resort Hotel,1,265,22,5,2017,29,2.349344347549156,1.2427940943897533,2,0,0,DEU,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,240.0,40.0,0.0,Transient,83.91,0,1,37060,1.9249909312766214,0,2017-5-29,0,0,2,3.5921384419389093,0
City Hotel,0,96,33,8,2015,12,0.0,1.0415082490431142,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,B,0,No Deposit,8.0,40.0,0.0,Transient-Party,239.71,0,1,41078,0.0005871586631116,0,2015-8-12,0,0,2,1.0415082490431142,0
City Hotel,0,85,34,8,2016,18,0.602787266559286,0.0,2,0,0,UNAVAILABLE,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,6.0,40.0,0.0,Transient-Party,53.19,0,1,95453,1.2001755158917369,0,2016-8-18,0,0,2,0.602787266559286,0
City Hotel,0,235,37,9,2015,10,0.0395399299605896,1.584756662528691,2,0,0,USA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,7.0,40.0,0.0,Transient,78.85,0,0,42795,2.233865955696087,0,2015-9-10,0,0,2,1.6242965924892807,0
Resort Hotel,0,6,50,12,2016,5,2.094351307439359,2.964065087573149,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,D,2,No Deposit,242.0,40.0,1.139076629229391,Transient-Party,37.17,0,1,31007,2.483026310797811,0,2016-12-5,0,0,2,5.058416395012507,0
Resort Hotel,0,73,16,4,2016,16,1.631913369649317,1.1469957772043355,2,0,0,GBR,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,6.0,40.0,8.070637487828602,Transient,75.66,0,0,23345,0.1185144731898197,0,2016-4-16,0,0,2,2.7789091468536524,0
Resort Hotel,0,121,32,8,2017,11,2.1256766618929124,0.0,1,0,0,GBR,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,40.0,40.0,0.0,Contract,77.8,0,0,39324,0.2840627121357502,0,2017-8-11,0,1,1,2.1256766618929124,0
City Hotel,0,64,30,7,2017,25,0.3826086528244373,8.045750088842738,2,0,0,BRA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,85.0,40.0,0.0,Transient,153.26,0,0,117007,1.9249909312766214,0,2017-7-25,0,0,2,8.428358741667175,1
City Hotel,1,56,4,1,2017,25,0.0,1.3034153336754362,2,0,0,PRT,GROUPS,TA/TO,0,0,0,A,0,Non Refund,326.0,40.0,2.388330139533117,Transient,143.19,0,0,62965,0.4806914831805982,0,2017-1-25,0,0,2,1.3034153336754362,0
Resort Hotel,1,7,43,10,2015,24,0.0,4.014005525792458,2,0,0,MISSING,ONLINE TA,DIRECT,0,0,0,A,0,Non Refund,9.0,40.0,0.0,Transient,59.43,0,0,2652,0.3445865476950149,0,2015-10-24,0,0,2,4.014005525792458,0
City Hotel,0,8,7,2,2016,7,2.608029821851466,1.6572293242654992,3,0,0,FRA,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.0,Transient,44.2,0,2,83612,1.9249909312766214,0,2016-2-7,0,0,3,4.265259146116965,0
Resort Hotel,0,43,8,2,2017,22,0.166518447677169,3.652961561270955,1,0,0,PRT,ONLINE TA,TA/TO,1,0,1,A,0,No Deposit,314.0,40.0,4.497606456353701,Transient,218.02,0,0,19394,1.5573981964043202,1,2017-2-22,0,1,1,3.819480008948124,0
City Hotel,0,11,4,1,2017,26,0.0,6.005271381454548,2,0,0,GBR,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,86.0,40.0,0.0,Transient,84.34,0,0,105056,1.652330746072457,0,2017-1-26,0,0,2,6.005271381454548,0
Resort Hotel,1,191,39,9,2015,26,1.795967679791247,1.3856070028382417,2,0,0,UNKNOWN,UNKNOWN,TA/TO,0,1,0,A,0,Non Refund,96.0,40.0,1.661476613243225,Transient,63.54,0,0,15212,0.941653580567062,1,2015-9-26,0,0,2,3.1815746826294884,0
Resort Hotel,0,101,51,12,2015,16,0.0,0.0,1,0,0,PRT,DIRECT,DIRECT,0,0,0,A,1,No Deposit,9.0,40.0,0.0,Transient,82.97,0,3,19391,0.0028120497662597,0,2015-12-16,0,1,1,0.0,0
Resort Hotel,0,259,40,9,2016,29,1.7253859514626977,0.6881009484496604,2,0,0,GBR,OFFLINE TA/TO,TA/TO,0,0,0,D,0,No Deposit,40.0,40.0,2.590858323836119,Transient,162.42,0,0,28515,2.2009217291902385,0,2016-9-29,0,0,2,2.413486899912358,0
City Hotel,0,67,21,5,2016,21,0.0,3.417058375621824,3,0,0,PRT,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.0,Transient,106.94,0,1,89477,0.4969834201252777,0,2016-5-21,0,0,3,3.417058375621824,0
City Hotel,1,45,26,6,2016,24,1.673855067996025,1.9024215576600387,2,0,0,PRT,OFFLINE TA/TO,TA/TO,0,0,0,A,0,Non Refund,3.0,40.0,10.69164108980024,Transient,80.43,0,0,53589,3.0538298630524103,0,2016-6-24,0,0,2,3.576276625656064,0
City Hotel,0,101,19,5,2017,7,2.5179850026600725,2.9702778292618253,1,0,0,GRC,ONLINE TA,TA/TO,0,0,0,D,1,No Deposit,9.0,40.0,0.0,Transient,80.71,0,1,111493,1.9249909312766214,0,2017-5-7,0,1,1,5.488262831921897,0
City Hotel,0,101,44,10,2015,31,1.775272594819636,0.5405842793650733,2,0,0,ITA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Contract,54.9,0,1,79918,0.5498234165368499,0,2015-10-31,0,0,2,2.315856874184709,0
City Hotel,1,38,36,8,2015,31,0.8754669620311132,2.8284870726165217,2,0,0,PRT,GROUPS,TA/TO,0,1,0,A,0,Non Refund,1.0,40.0,0.0,Contract,87.55,0,0,74479,2.255372265697503,1,2015-8-31,0,0,2,3.703954034647635,0
City Hotel,1,140,36,9,2015,5,1.1173784230460713,3.688396293027183,2,0,0,PRT,GROUPS,TA/TO,0,0,0,A,0,Non Refund,1.0,40.0,0.0,Transient,3.9,0,0,42360,0.8279048919820184,0,2015-9-5,0,0,2,4.8057747160732545,0
City Hotel,0,101,9,2,2016,24,0.4316492764164293,0.8174701884555087,1,0,0,NOR,CORPORATE,CORPORATE,0,0,0,A,0,No Deposit,9.0,207.0,3.0404476006745025,Transient-Party,98.27,0,0,84516,1.3243184770757936,0,2016-2-24,0,1,1,1.249119464871938,0
Resort Hotel,1,163,30,7,2016,21,0.4693581059237539,4.657240151460534,1,0,0,PRT,CORPORATE,TA/TO,0,0,0,A,0,No Deposit,9.0,204.0,2.882076500196253,Transient,110.43,0,2,7093,1.6389613146809925,0,2016-7-21,0,1,1,5.126598257384288,0
Resort Hotel,0,101,29,7,2017,21,1.5239532784494507,0.0,2,0,0,UNKNOWN,OFFLINE TA/TO,TA/TO,0,0,0,E,0,No Deposit,40.0,40.0,9.318771638130864,Transient,190.73,0,2,38723,3.967958679556346,0,2017-7-21,0,0,2,1.5239532784494507,0
Resort Hotel,0,101,40,9,2016,27,0.0,0.8976923190603949,1,0,0,PRT,CORPORATE,CORPORATE,1,0,3,A,0,No Deposit,9.0,9.0,2.629618605640652,Transient,136.26,0,0,17519,0.7792656094368569,3,2016-9-27,0,1,1,0.8976923190603949,0
City Hotel,1,101,25,6,2017,22,2.239260200100677,3.2157770830224983,2,0,0,PRT,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,132.0,40.0,2.281020869835135,Transient-Party,61.27,0,0,70787,0.9083932686246928,0,2017-6-22,0,0,2,5.4550372831231755,0
City Hotel,0,19,26,6,2017,29,0.6973996077732417,3.6339393922567975,2,0,0,GBR,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,9.828099341755712,Transient,43.94,0,0,71208,2.2396723953257176,0,2017-6-29,0,0,2,4.331339000030039,0
City Hotel,0,161,16,4,2016,12,0.2390186066636396,3.49910590849617,2,1,0,FRA,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,1.7216450181311056,Transient,66.07,0,2,87166,1.9249909312766214,0,2016-4-12,1,0,3,3.7381245151598095,0
City Hotel,1,82,46,11,2016,6,1.523675880267479,2.139332489849111,1,0,0,GBR,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,117.82,0,1,60150,0.03862856972841,0,2016-11-6,0,1,1,3.6630083701165903,0
Resort Hotel,0,61,47,11,2015,21,0.0,2.9761694627766886,2,0,0,GBR,OFFLINE TA/TO,TA/TO,1,0,1,A,0,No Deposit,127.0,40.0,0.8438813545793873,Transient,62.28,0,0,18385,1.5821521005135293,1,2015-11-21,0,0,2,2.9761694627766886,0
City Hotel,0,264,42,10,2016,11,0.0,0.0,1,0,0,FRA,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,234.0,40.0,0.0,Transient-Party,26.28,0,0,99422,0.808778332657291,0,2016-10-11,0,1,1,0.0,0
City Hotel,1,78,4,1,2017,26,0.0,2.541267626716065,1,0,0,POL,ONLINE TA,TA/TO,0,0,0,A,1,No Deposit,9.0,365.0,2.779466128990291,Transient-Party,197.62,0,0,104979,1.4574047769372305,0,2017-1-26,0,1,1,2.541267626716065,0
City Hotel,0,239,22,5,2017,30,0.1361314783959212,3.320487048069813,1,0,0,DEU,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,85.0,40.0,0.7377699078283327,Transient,101.16,0,1,113139,1.14930909109556,0,2017-5-30,0,1,1,3.4566185264657343,0
City Hotel,0,58,8,2,2017,23,0.0,0.1360851712322919,2,0,0,FRA,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.6601407583522995,Transient,121.24,0,0,106496,0.1902347694179444,0,2017-2-23,0,0,2,0.1360851712322919,0
Resort Hotel,0,147,28,7,2016,5,0.0,2.4288574646003145,2,2,0,USA,ONLINE TA,DIRECT,0,0,0,C,0,No Deposit,9.0,40.0,0.0,Transient,100.58,0,1,25695,1.9249909312766214,0,2016-7-5,2,0,4,2.4288574646003145,0
Resort Hotel,0,101,32,8,2016,2,0.0,2.233422818844002,2,0,0,ESP,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,240.0,40.0,0.0,Transient,50.83,0,0,26559,1.8059798260330735,0,2016-8-2,0,0,2,2.233422818844002,0
Resort Hotel,1,12,36,9,2016,1,0.7694794456926275,2.25719523037199,2,0,0,UNAVAILABLE,DIRECT,DIRECT,0,0,0,E,0,No Deposit,250.0,40.0,0.7589871682740013,Transient,59.53,0,2,27677,1.9249909312766214,0,2016-9-1,0,0,2,3.0266746760646175,0
City Hotel,1,101,30,7,2015,20,0.8391127198435011,0.0,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient-Party,50.42,0,1,40293,1.9249909312766214,0,2015-7-20,0,0,2,0.8391127198435011,0
Resort Hotel,0,189,29,7,2016,12,2.2955133267596244,1.5634560179210597,2,0,0,GBR,DIRECT,DIRECT,0,0,0,F,0,No Deposit,9.0,40.0,14.735991857125049,Transient,151.07,0,0,26080,5.160343685989634,0,2016-7-12,0,0,2,3.858969344680684,0
Resort Hotel,0,335,6,2,2017,11,0.589383398869648,4.669614465741415,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,240.0,40.0,6.587487528694896,Transient-Party,81.42,1,0,14408,0.2488943583616396,0,2017-2-11,0,0,2,5.2589978646110636,0
Resort Hotel,1,80,18,4,2016,29,1.5223527715895293,1.0224665009302474,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,A,3,No Deposit,95.0,40.0,8.037016098623425,Transient-Party,49.58,0,0,5478,1.8668709402731676,0,2016-4-29,0,0,2,2.544819272519777,0
Resort Hotel,0,129,50,12,2016,8,0.0,0.0,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,D,1,No Deposit,6.0,40.0,0.0,Transient-Party,64.67,0,0,31023,1.75345131276256,0,2016-12-8,0,0,2,0.0,0
Resort Hotel,1,77,15,4,2016,4,0.8980628091475636,6.915071126347117,2,0,0,DEU,GROUPS,TA/TO,0,0,0,A,0,Non Refund,298.0,40.0,1.4529810790082336,Transient-Party,178.39,0,0,4835,2.525374005229198,0,2016-4-4,0,0,2,7.8131339354946805,1
City Hotel,0,96,19,5,2017,7,1.4586413271935248,3.0450284867625763,2,0,0,AUT,OFFLINE TA/TO,TA/TO,0,0,0,A,0,No Deposit,27.0,40.0,9.239176702885812,Transient,77.69,0,0,111440,1.879287988346818,0,2017-5-7,0,0,2,4.503669813956101,0
Resort Hotel,1,54,12,3,2016,16,0.0,0.5930270264732519,1,0,0,UNAVAILABLE,DIRECT,DIRECT,0,0,0,A,0,No Deposit,9.0,47.0,0.0,Transient,107.39,0,0,22034,1.793126266731644,0,2016-3-16,0,1,1,0.5930270264732519,0
City Hotel,0,189,33,8,2016,7,2.177961756480485,2.02658182563295,2,0,0,GBR,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.1580915354600164,Transient,133.07,0,2,94817,1.883100229106086,0,2016-8-7,0,0,2,4.204543582113436,0
City Hotel,1,208,13,3,2016,22,0.1100042624534222,2.656643076053117,2,0,0,GBR,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,51.09,0,0,85858,0.2419784486943565,0,2016-3-22,0,0,2,2.766647338506539,0
Resort Hotel,0,129,53,12,2015,30,0.0,2.12970828311673,2,0,0,PRT,GROUPS,TA/TO,0,0,0,A,0,No Deposit,308.0,40.0,116.71117051016545,Transient-Party,99.6,0,0,3697,12.602730822388564,0,2015-12-30,0,0,2,2.12970828311673,0
City Hotel,1,24,5,2,2017,1,0.0,1.585223169904389,2,0,0,PRT,GROUPS,TA/TO,0,0,0,A,0,Non Refund,29.0,40.0,3.586819858495536,Transient,91.37,0,0,63133,0.0715561383349556,0,2017-2-1,0,0,2,1.585223169904389,0
Resort Hotel,0,101,34,8,2017,24,0.0,1.0294412163063742,3,1,0,POL,ONLINE TA,TA/TO,0,0,0,H,0,No Deposit,240.0,40.0,0.0,Transient,107.18,0,1,39742,2.3829463884444677,0,2017-8-24,1,0,4,1.0294412163063742,0
Resort Hotel,0,63,53,12,2016,30,0.0,2.60754400773446,2,0,0,PRT,COMPLEMENTARY,DIRECT,1,0,2,E,3,No Deposit,9.0,40.0,2.9414080560247746,Transient-Party,125.77,0,3,15297,3.4049451631705456,2,2016-12-30,0,0,2,2.60754400773446,0
City Hotel,1,147,17,4,2017,27,0.8938572831909368,1.030329877003377,1,0,0,PRT,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,86.0,40.0,0.0,Transient,19.88,0,0,66973,0.2057385205651817,0,2017-4-27,0,1,1,1.924187160194314,0
City Hotel,0,30,38,9,2015,15,0.0,0.0,2,0,0,AGO,ONLINE TA,DIRECT,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,134.45,0,1,77430,0.3527260414246677,0,2015-9-15,0,0,2,0.0,0
City Hotel,1,101,27,7,2017,6,0.0,3.1730731899958435,3,0,0,PRT,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,9.0,40.0,0.8254298119069059,Transient,81.56,0,0,71471,1.9249909312766214,0,2017-7-6,0,0,3,3.1730731899958435,0
City Hotel,0,64,20,5,2017,16,0.0,0.7760368695300357,2,0,0,IRL,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,7.0,40.0,0.0,Transient,177.22,0,2,112052,1.5499086817430328,0,2017-5-16,0,0,2,0.7760368695300357,0
Resort Hotel,0,157,9,2,2016,23,0.0,0.8283419493545088,1,0,0,UNAVAILABLE,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,240.0,40.0,8.003798342415816,Transient,268.25,0,0,21273,2.0622750908220824,0,2016-2-23,0,1,1,0.8283419493545088,0
Resort Hotel,0,101,35,8,2017,30,1.97825116275509,1.529333700158226,2,0,0,IRL,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,241.0,40.0,0.0,Transient,98.53,0,1,40022,0.738389891063401,0,2017-8-30,0,0,2,3.507584862913316,0
City Hotel,0,235,2,1,2017,14,2.5416178794117803,2.279705677516158,2,0,0,MISSING,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,7.0,40.0,0.0,Transient,143.51,0,1,104744,1.9249909312766214,0,2017-1-14,0,0,2,4.821323556927938,0
City Hotel,0,180,17,4,2017,24,0.7049603183466709,5.376245524702124,2,0,0,PRT,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,42.0,40.0,1.9037270409487248,Transient,161.0,0,0,110486,2.0338169846610112,0,2017-4-24,0,0,2,6.081205843048795,0
City Hotel,1,101,37,9,2016,6,0.0,2.032542937544502,2,0,0,UNKNOWN,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,112.41,0,1,56443,0.4501165292911715,0,2016-9-6,0,0,2,2.032542937544502,0
City Hotel,1,103,33,8,2017,15,0.0,1.571149720331172,2,0,0,PRT,DIRECT,DIRECT,0,0,0,A,0,No Deposit,9.0,40.0,7.854452342476706,Transient,55.34,0,0,73126,2.4851828061006263,0,2017-8-15,0,0,2,1.571149720331172,0
Resort Hotel,1,101,33,8,2015,13,0.7301302563647973,2.484965968730892,2,0,0,PRT,DIRECT,DIRECT,0,0,0,A,0,No Deposit,9.0,40.0,2.172658056841099,Transient,21.84,0,2,1081,1.9249909312766214,0,2015-8-13,0,0,2,3.215096225095689,0
Resort Hotel,0,101,14,4,2017,3,1.6023730615745593,5.297729653493848,1,0,0,PRT,CORPORATE,CORPORATE,0,0,0,A,0,No Deposit,9.0,154.0,6.294814524674985,Transient,167.81,0,0,34791,2.687366420038019,0,2017-4-3,0,1,1,6.900102715068407,0
City Hotel,1,69,38,9,2015,18,0.3251564051199509,0.0,2,0,0,PRT,OFFLINE TA/TO,TA/TO,0,1,0,A,0,Non Refund,6.0,40.0,0.0,Transient-Party,160.72,0,0,76031,2.011979101811084,1,2015-9-18,0,0,2,0.3251564051199509,0
City Hotel,1,218,43,10,2016,17,2.140548417597142,3.216752591974033,2,0,0,DEU,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,98.64,0,1,99924,1.406560677886253,0,2016-10-17,0,0,2,5.3573010095711755,0
City Hotel,0,101,19,5,2017,10,0.0,0.0181612567690222,2,0,0,BGR,ONLINE TA,TA/TO,0,0,0,A,0,No Deposit,9.0,40.0,0.0,Transient,155.98,0,2,111661,1.1671125410715324,0,2017-5-10,0,0,2,0.0181612567690222,0
Resort Hotel,1,101,15,4,2016,4,1.1512514449450597,2.105746009635552,3,0,0,PRT,ONLINE TA,TA/TO,0,0,0,D,0,No Deposit,242.0,40.0,0.0,Transient,42.15,0,1,4852,0.6622566966171741,0,2016-4-4,0,0,3,3.2569974545806115,0
