hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,id,booking_difficulty_score,total_nights,total_guests,adr_per_person,cancellation_ratio_prev_bookings,is_direct_booking
City Hotel,0,84.78257604625641,2017,August,2016,18,0.602787266559286,-0.7955253935991284,2,0.0,0,MISSING,UNAVAILABLE,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,-5.93482863482863,Transient-Party,53.18683940402781,0,1,95453,1.2001755158917369,-0.1927381270398424,2.0,26.593419702013904,0.0,0
City Hotel,0,235.07755625175912,2017,September,2015,10,0.0395399299605896,1.584756662528691,2,0.0,0,SC,USA,UNAVAILABLE,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,-5.116317535567313,Transient,78.85253229782656,0,0,42795,2.233865955696087,1.6242965924892807,2.0,39.42626614891328,0.0,0
Resort Hotel,0,72.72002441277901,2017,April,2016,16,1.631913369649317,1.1469957772043355,2,0.0,0,BB,GBR,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,8.070637487828602,Transient,75.655157438177,0,0,23345,0.1185144731898197,2.7789091468536524,2.0,37.8275787190885,0.0,0
City Hotel,0,64.0986024462996,2017,July,2017,25,0.3826086528244373,8.045750088842738,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,0,No Deposit,85.0,0.0,-2.9911302893154827,Transient,153.26392062215444,0,0,117007,-0.2986436536083565,8.428358741667175,2.0,76.63196031107722,0.0,0
City Hotel,1,56.35097909524976,2017,August,2017,25,-0.0843215984261116,1.3034153336754362,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,326.0,0.0,2.388330139533117,Transient,143.18822857458036,0,0,62965,0.4806914831805982,1.2190937352493245,2.0,71.59411428729018,0.0,0
City Hotel,0,11.17516028486611,2017,January,2017,26,-0.0221187375299236,6.005271381454548,2,0.0,0,BB,GBR,MISSING,TA/TO,0,0,0,A,0,No Deposit,86.0,0.0,-8.004226789194963,Transient,84.34443599889951,0,0,105056,1.652330746072457,5.983152643924625,2.0,42.17221799944976,0.0,0
Resort Hotel,0,258.5676673037888,2017,September,2016,29,1.7253859514626977,0.6881009484496604,2,0.0,0,UNKNOWN,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,40.0,0.0,2.590858323836119,Transient,162.4212750672753,0,0,28515,2.2009217291902385,2.413486899912358,2.0,81.21063753363765,0.0,0
City Hotel,1,44.977750808049926,2017,June,2016,24,1.673855067996025,1.9024215576600387,2,0.0,0,BB,PRT,Offline TA/TO,MISSING,0,0,0,A,0,Non Refund,3.0,0.0,10.69164108980024,Transient,80.43173975360443,0,0,53589,3.0538298630524103,3.576276625656064,2.0,40.215869876802216,0.0,0
City Hotel,0,106.52493249853804,2017,October,2015,31,1.775272594819636,0.5405842793650733,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-6.553343328828358,Contract,54.9004331321823,0,1,79918,0.5498234165368499,2.315856874184709,2.0,27.45021656609115,0.0,0
City Hotel,1,139.70880150526645,2017,September,2015,5,1.1173784230460713,3.688396293027183,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1.0,0.0,-1.0858678073581869,Transient,3.903502169415405,0,0,42360,0.8279048919820184,4.8057747160732545,2.0,1.9517510847077024,0.0,0
Resort Hotel,0,106.52493249853804,2017,July,2017,21,1.5239532784494507,-0.1211436412642119,2,0.0,0,BB,UNKNOWN,Offline TA/TO,TA/TO,0,0,0,E,0,No Deposit,40.0,0.0,9.318771638130864,Transient,190.727201396822,0,2,38723,3.967958679556346,1.4028096371852388,2.0,95.363600698411,0.0,0
City Hotel,1,106.52493249853804,2017,June,2017,22,2.239260200100677,3.2157770830224983,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,132.0,0.0,2.281020869835135,Transient-Party,61.26571520817368,0,0,70787,0.9083932686246928,5.4550372831231755,2.0,30.63285760408684,0.0,0
City Hotel,0,19.29819438749837,2017,June,2017,29,0.6973996077732417,3.6339393922567975,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,9.828099341755712,Transient,43.93791059402551,0,0,71208,2.2396723953257176,4.331339000030039,2.0,21.968955297012755,0.0,0
City Hotel,0,57.763013039325934,2017,February,2017,23,-0.2524871615549358,0.1360851712322919,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0.6601407583522995,Transient,121.23726247115164,0,0,106496,0.1902347694179444,-0.11640199032264387,2.0,60.61863123557582,0.0,0
City Hotel,0,106.52493249853804,2017,April,2016,18,1.4322228822226983,3.588224569451464,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-12.859967921358596,Transient,97.17596121944231,0,0,87397,1.0905957608560284,5.020447451674162,2.0,48.58798060972116,0.0,0
Resort Hotel,0,106.52493249853804,2017,August,2016,2,-0.4249951219686983,2.233422818844002,2,0.0,0,HB,ESP,Online TA,UNAVAILABLE,0,0,0,A,0,No Deposit,240.0,0.0,-10.54325029569776,Transient,50.8329874529809,0,0,26559,1.8059798260330735,1.8084276968753037,2.0,25.41649372649045,0.0,0
Resort Hotel,1,11.73373158051506,2017,September,2016,1,0.7694794456926275,2.25719523037199,2,0.0,0,BB,UNAVAILABLE,Direct,Direct,0,0,0,E,0,No Deposit,250.0,0.0,0.7589871682740013,Transient,59.532528757798005,0,2,27677,-1.952485277788798,3.0266746760646175,2.0,29.766264378899002,0.0,0
City Hotel,1,106.52493249853804,2017,July,2015,20,0.8391127198435011,-0.8853369893404075,2,0.0,0,UNAVAILABLE,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-5.776907021127398,Transient-Party,50.416521442717816,0,1,40293,-0.4239726805473566,-0.04622426949690639,2.0,25.208260721358908,0.0,0
Resort Hotel,1,76.78630694753211,2017,April,2016,4,0.8980628091475636,6.915071126347117,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,0,Non Refund,298.0,0.0,1.4529810790082336,Transient-Party,178.3904058382081,0,0,4835,2.525374005229198,7.8131339354946805,2.0,89.19520291910405,0.0,0
City Hotel,0,96.18574335294213,2017,May,2017,7,1.4586413271935248,3.0450284867625763,2,0.0,0,BB,AUT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,27.0,0.0,9.239176702885812,Transient,77.6851921071267,0,0,111440,1.879287988346818,4.503669813956101,2.0,38.84259605356335,0.0,0
City Hotel,0,188.9036195224611,2017,August,2016,7,2.177961756480485,2.02658182563295,2,0.0,0,UNKNOWN,GBR,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0.1580915354600164,Transient,133.06883069151422,0,2,94817,1.883100229106086,4.204543582113436,2.0,66.53441534575711,0.0,0
City Hotel,1,208.0752817128926,2017,March,2016,22,0.1100042624534222,2.656643076053117,2,0.0,0,SC,GBR,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-7.589482039827698,Transient,51.08987399380152,0,0,85858,0.2419784486943565,2.766647338506539,2.0,25.54493699690076,0.0,0
City Hotel,1,23.675720327342443,2017,February,2017,1,-0.5390499081955807,1.585223169904389,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,29.0,0.0,3.586819858495536,Transient,91.37433772107748,0,0,63133,0.0715561383349556,1.0461732617088084,2.0,45.68716886053874,0.0,0
City Hotel,0,63.906671134646594,2017,May,2017,16,-0.2721711455350347,0.7760368695300357,2,0.0,0,BB,IRL,Online TA,MISSING,0,0,0,D,0,No Deposit,7.0,0.0,-0.3922449131178114,Transient,177.21812916672536,0,2,112052,1.5499086817430328,0.5038657239950011,2.0,88.60906458336268,0.0,0
Resort Hotel,0,106.52493249853804,2017,August,2017,30,1.97825116275509,1.529333700158226,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,241.0,0.0,-3.685770719433087,Transient,98.5305513721086,0,1,40022,0.738389891063401,3.507584862913316,2.0,49.2652756860543,0.0,0
City Hotel,0,235.120664225293,2017,August,2017,14,2.5416178794117803,2.279705677516158,2,0.0,0,BB,MISSING,Online TA,UNAVAILABLE,0,0,0,D,0,No Deposit,7.0,0.0,-22.41478240229343,Transient,143.50513801871764,0,1,104744,-0.913132074862084,4.821323556927938,2.0,71.75256900935882,0.0,0
City Hotel,0,179.86713263998325,2017,April,2017,24,0.7049603183466709,5.376245524702124,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,42.0,0.0,1.9037270409487248,Transient,161.00441123615877,0,0,110486,2.0338169846610112,6.081205843048795,2.0,80.50220561807939,0.0,0
City Hotel,1,106.52493249853804,2017,September,2016,6,-0.4557472940482601,2.032542937544502,2,0.0,0,BB,UNKNOWN,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-2.8586285880910336,Transient,112.40931651641309,0,1,56443,0.4501165292911715,1.5767956434962418,2.0,56.20465825820654,0.0,0
City Hotel,1,218.17594520037568,2017,October,2016,17,2.140548417597142,3.216752591974033,2,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-4.676144966892653,Transient,98.64098821255936,0,1,99924,1.406560677886253,5.3573010095711755,2.0,49.32049410627968,0.0,0
City Hotel,0,106.52493249853804,2017,May,2017,10,-1.034227789705804,0.0181612567690222,2,0.0,0,BB,BGR,Online TA,UNKNOWN,0,0,0,A,0,No Deposit,9.0,0.0,-1.6789457504366094,Transient,155.98142593718194,0,2,111661,1.1671125410715324,-1.016066532936782,2.0,77.99071296859097,0.0,0
City Hotel,0,41.44547887763451,2017,March,2016,4,-0.0180360846134041,4.678616695278776,2,0.0,0,BB,BEL,Online TA,MISSING,0,0,0,A,0,No Deposit,9.0,0.0,5.544985751121444,Transient-Party,127.57487188816788,0,1,47796,1.9835259909602208,4.660580610665372,2.0,63.78743594408394,0.0,0
City Hotel,0,66.36830965069078,2017,March,2016,31,0.6143480301790608,5.120317729923555,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-2.182897244231665,Transient-Party,145.48933616758617,0,1,86469,2.5366732964379737,5.734665760102616,2.0,72.74466808379309,0.0,0
City Hotel,0,214.6308179393022,2017,May,2017,7,2.258247055905451,1.5959992068549658,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,-9.70259823281411,Transient,61.63377586369315,0,1,111416,1.1925641389499089,3.854246262760417,2.0,30.816887931846576,0.0,0
City Hotel,1,239.0012683221516,2017,November,2016,11,-0.077821574731052,5.207324129310977,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,-1.8372375214982,Transient,170.23867070880436,0,3,60444,1.529907195749046,5.129502554579925,2.0,85.11933535440218,0.0,0
City Hotel,1,29.609443200737065,2017,September,2015,11,2.092062687245296,0.8098909412388928,2,0.0,0,BB,PRT,UNAVAILABLE,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,4.961384498573762,Transient-Party,89.90143285395126,0,1,42907,1.4266114735783462,2.901953628484189,2.0,44.95071642697563,0.0,0
Resort Hotel,0,106.52493249853804,2017,August,2016,27,1.4397833534339646,2.861914939577166,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,115.0,0.0,8.012648955863428,Transient,76.50583798144199,0,2,27573,2.712832759447579,4.30169829301113,2.0,38.25291899072099,0.0,0
City Hotel,1,35.020078720783644,2017,June,2017,22,1.8536078703755323,2.929514922739296,2,0.0,0,MISSING,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,132.0,0.0,13.136041895083146,Transient-Party,100.95734202177871,0,0,70789,2.2564034038230463,4.783122793114828,2.0,50.47867101088936,0.0,0
Resort Hotel,0,106.52493249853804,2017,March,2016,20,1.8327679155527443,4.979217733548501,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,6.0,0.0,-13.820903383088904,Transient,154.1486720684937,0,0,4487,-0.3566262052699142,6.811985649101246,2.0,77.07433603424685,0.0,0
City Hotel,1,85.45038147315549,2017,April,2016,15,-0.3979318203216938,4.107880184165732,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,4.106078160886939,Transient,49.49641939012931,0,0,49573,-0.1487140464645957,3.7099483638440383,2.0,24.748209695064656,0.0,0
City Hotel,0,94.74535167425869,2017,February,2017,12,1.1412067303493507,3.929908695402327,2,0.0,0,UNAVAILABLE,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,7.0,0.0,-3.7273507271047217,Transient,76.29611424395158,0,1,105831,-0.2674104592620728,5.071115425751678,2.0,38.14805712197579,0.0,0
City Hotel,1,106.52493249853804,2017,December,2016,18,2.1586822997616286,1.2586265290270746,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,2.102178760768159,Transient,132.83479968885203,0,1,103378,-1.1265307949099492,3.4173088287887032,2.0,66.41739984442601,0.0,0
City Hotel,0,47.56481654814815,2017,December,2015,6,1.7314816717278558,1.0589557902136906,2,0.0,0,BB,FRA,Offline TA/TO,MISSING,0,0,0,A,0,No Deposit,28.0,0.0,1.2115440015994523,Transient,156.69948596698433,0,0,81398,2.47685569337361,2.790437461941546,2.0,78.34974298349216,0.0,0
City Hotel,0,40.448590720726266,2017,April,2017,3,0.9487687212416032,4.440673857006293,2,0.0,0,BB,ROU,UNKNOWN,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-0.5313984203792361,Transient,104.4208938026061,0,1,109210,1.0979372361072643,5.3894425782478965,2.0,52.21044690130305,0.0,0
City Hotel,0,129.44298192365596,2017,August,2017,1,-0.5371414851850681,5.496713673671649,2,0.0,0,MISSING,DEU,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,1.8528963818625013,Transient,54.928041622805445,0,0,117324,2.231899524070103,4.959572188486581,2.0,27.464020811402722,0.0,0
City Hotel,1,128.70206190204073,2017,December,2016,1,-0.1002312862919811,2.643480534991087,2,0.0,0,BB,PRT,Groups,UNAVAILABLE,0,0,0,A,0,Non Refund,1.0,0.0,-10.966482004431828,Transient,94.465880316821,0,0,61047,-0.769384041797697,2.5432492486991056,2.0,47.2329401584105,0.0,0
City Hotel,0,87.08369286666894,2017,June,2017,10,0.1594869512848562,4.063277709366576,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,0.4653592846586792,Transient,166.79858958393675,0,1,113712,1.9578528117550105,4.222764660651433,2.0,83.39929479196837,0.0,0
City Hotel,1,309.6514068373701,2017,August,2016,4,-0.6815895391930025,3.17718272627506,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,0,Non Refund,1.0,0.0,-7.988890020078326,Transient,12.118938176553469,0,0,55078,0.9259183377386436,2.4955931870820574,2.0,6.059469088276734,0.0,0
City Hotel,0,268.4201576669218,2017,August,2015,8,2.4626731830692425,2.7777422836541867,2,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,0,No Deposit,1.0,0.0,-10.936368760022718,Transient-Party,116.44480593610196,0,0,40902,-0.7225148388290745,5.240415466723429,2.0,58.22240296805098,0.0,0
Resort Hotel,0,110.40879060789312,2017,August,2016,4,0.3711510640571983,6.131473230887514,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,No Deposit,240.0,0.0,17.407853984949902,Transient,77.56012538850544,0,0,7339,2.12062667008101,6.502624294944712,2.0,38.78006269425272,0.0,0
City Hotel,0,92.13523139349988,2017,April,2017,11,-0.2805386309964947,2.658377073741377,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-0.3409006005148024,Transient,97.2359993720746,0,1,109610,1.450455850232213,2.3778384427448827,2.0,48.6179996860373,0.0,0
City Hotel,1,252.2802871932133,2017,August,2017,10,1.4909596507556009,3.485514029684908,2,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,D,0,No Deposit,9.0,0.0,-4.152061945655888,Transient,37.8340429356976,0,0,72951,0.5185867640239598,4.976473680440509,2.0,18.9170214678488,0.0,0
City Hotel,1,155.57868473870562,2017,September,2016,16,0.994681675349399,0.8101616362656823,2,0.0,0,BB,PRT,Groups,MISSING,0,0,0,A,0,Non Refund,37.0,0.0,2.5700959609855043,Transient,130.89717660777626,0,0,57033,-0.5841955031136035,1.8048433116150813,2.0,65.44858830388813,0.0,0
City Hotel,0,48.27127586848367,2017,September,2016,16,-0.1008564084886352,6.220514863949974,2,0.0,0,BB,DEU,MISSING,UNKNOWN,0,0,0,A,0,No Deposit,9.0,0.0,5.345159484868965,Transient,85.5497320856805,0,1,97586,0.2597118391857522,6.119658455461339,2.0,42.77486604284025,0.0,0
Resort Hotel,1,0.2519995892856381,2017,February,2017,16,0.0561443642867684,1.8128273661750527,2,0.0,0,BB,GBR,MISSING,TA/TO,0,0,0,E,0,No Deposit,240.0,0.0,3.945079282939016,Transient,164.28956781516715,0,1,10138,2.7371687765444275,1.8689717304618212,2.0,82.14478390758357,0.0,0
City Hotel,1,53.89819640956241,2017,November,2016,3,0.135243370042705,5.834421820430061,2,0.0,0,UNAVAILABLE,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,21.0,0.0,8.257503069691088,Transient,57.03018383392724,0,0,59909,2.023732096107732,5.969665190472766,2.0,28.51509191696362,0.0,0
City Hotel,1,21.38843769377031,2017,April,2016,24,2.04165138822752,0.8941666168364277,2,0.0,0,BB,MISSING,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,26.0,0.0,21.48458813736969,Transient,61.10018755930679,0,0,50134,3.148392123272617,2.9358180050639477,2.0,30.550093779653395,0.0,0
Resort Hotel,0,59.402540752248775,2017,March,2016,17,2.563493220228033,3.69370314960666,2,0.0,0,BB,IRL,MISSING,TA/TO,0,0,0,A,0,No Deposit,314.0,0.0,-2.698648025037413,Transient,87.75861817876238,0,0,22487,1.2822340805803096,6.257196369834693,2.0,43.87930908938119,0.0,0
City Hotel,1,232.2129081122595,2017,May,2017,8,1.1399755136292715,5.249099861351495,2,0.0,0,BB,NLD,Online TA,MISSING,0,0,0,A,0,No Deposit,9.0,0.0,-11.756384006247554,Transient,61.26023352884869,0,0,67863,-0.1677126974401872,6.3890753749807665,2.0,30.630116764424344,0.0,0
City Hotel,1,106.52493249853804,2017,March,2017,31,0.504293682604489,4.943765595133983,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,Non Refund,56.0,0.0,-11.04585052440176,Transient,167.92201522829745,0,0,65315,-0.6144180926362537,5.448059277738472,2.0,83.96100761414873,0.0,0
Resort Hotel,0,219.56733320973623,2017,September,2016,25,3.298034289062024,0.2782208819423224,2,0.0,0,BB,MISSING,Offline TA/TO,UNAVAILABLE,0,0,0,E,0,No Deposit,171.0,0.0,1.7795267767494434,Transient,40.53755878042184,0,0,28415,2.524298581168108,3.5762551710043464,2.0,20.26877939021092,0.0,0
City Hotel,0,69.3218927863458,2017,September,2016,27,-0.545951525178618,2.462564904330788,2,0.0,0,BB,UNAVAILABLE,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,94.0,0.0,-4.318084195614024,Transient,89.76357723988185,0,2,98341,-1.2097931744271977,1.91661337915217,2.0,44.88178861994093,0.0,0
City Hotel,1,106.52493249853804,2017,June,2016,17,-0.5923298857128786,0.5559130132535385,2,0.0,0,UNAVAILABLE,HKG,UNAVAILABLE,TA/TO,0,0,0,A,0,No Deposit,9.0,0.0,-3.858303720986717,Transient,78.49566147650799,0,0,53302,0.8438061250956292,-0.03641687245934011,2.0,39.247830738253995,0.0,0
Resort Hotel,0,132.2173008357233,2017,February,2016,17,-0.2554396695325656,3.138831276441856,2,0.0,0,BB,CHE,Offline TA/TO,TA/TO,0,0,0,D,0,No Deposit,36.0,0.0,-5.446566156141454,Transient,0.2506001649172873,0,0,21215,0.2826721605797522,2.8833916069092904,2.0,0.12530008245864366,0.0,0
Resort Hotel,0,216.29498812652972,2017,January,2016,1,0.4035178219677801,3.2500058612756977,2,0.0,0,HB,ARG,UNAVAILABLE,UNAVAILABLE,0,0,0,A,0,No Deposit,241.0,0.0,3.753347998635053,Transient,76.99093454425343,0,2,3742,0.9136186296303228,3.6535236832434776,2.0,38.49546727212672,0.0,0
Resort Hotel,0,74.66238500541365,2017,May,2016,8,2.4575131655775886,-0.9149647901898836,2,0.0,0,BB,IRL,UNKNOWN,TA/TO,0,0,0,D,0,No Deposit,147.0,0.0,3.66104391435767,Transient,58.07543677398896,0,0,24214,-0.0010163183157123,1.542548375387705,2.0,29.03771838699448,0.0,0
City Hotel,1,41.53166152396452,2017,October,2016,27,-1.0357503276283928,-0.0887964604336581,2,0.0,0,SC,UNKNOWN,Online TA,UNKNOWN,0,0,0,A,0,No Deposit,8.0,0.0,7.559131537697874,Transient,153.21976932853366,0,2,59322,3.515744906907358,-1.124546788062051,2.0,76.60988466426683,0.0,0
Resort Hotel,0,106.52493249853804,2017,July,2015,29,-0.5672711720567949,2.179286717068899,2,0.0,0,BB,PRT,UNKNOWN,TA/TO,0,0,0,D,0,No Deposit,142.0,0.0,-2.7729668335375663,Contract,97.17596121944231,0,0,775,1.0905957608560284,1.6120155450121043,2.0,48.58798060972116,0.0,0
City Hotel,1,7.198192944263576,2017,August,2017,29,-0.0354809078175191,-1.2173241071606995,2,0.0,0,BB,PRT,UNAVAILABLE,TA/TO,0,0,0,A,0,Non Refund,229.0,0.0,1.2612283526014036,Transient,41.9581519307217,0,0,73643,2.01814253512444,-1.2528050149782186,2.0,20.97907596536085,0.0,0
City Hotel,0,25.36122944275967,2017,August,2017,2,2.171960588990622,3.608920390728368,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,0,No Deposit,42.0,0.0,-12.980873334023116,Transient,85.78943467873836,0,0,117761,-0.7972777746113888,5.78088097971899,2.0,42.89471733936918,0.0,0
